t_ms,e1,e2,e3,e4,e5,e6,e7
0.0,0.03185763702109448,0.028163993244093955,0.029797500238533794,0.03381770510332393,0.03632785222421737,0.03381770510332393,0.029797500238533794
0.025,0.03183311466706362,0.027980445429458923,0.029665549863040746,0.03387529820196564,0.03656318864419879,0.03387529820196564,0.029665549863040746
0.05,0.03170254391459687,0.027638728549788404,0.029374377194593706,0.03382484120480618,0.03679332951873858,0.03382484120480618,0.029374377194593706
0.07500000000000001,0.032235567387744524,0.027810937730877925,0.029617449232777662,0.03444962815832014,0.03790173169643493,0.03444962815832014,0.029617449232777662
0.1,0.03393090887008461,0.028939355732095853,0.030838696615525397,0.036237721264570436,0.040436256176879244,0.036237721264570436,0.030838696615525397
0.125,0.03694782179542118,0.031178120432243772,0.03317631742185465,0.039321434649310205,0.04453599777550917,0.039321434649310205,0.03317631742185465
0.15000000000000002,0.041204015894632955,0.03447707725217642,0.03655693133669218,0.04359016710367607,0.05005640987426637,0.04359016710367607,0.03655693133669218
0.17500000000000002,0.046495495652070847,0.03868125241216795,0.04080441168275137,0.04882063707802862,0.05672066407747142,0.04882063707802862,0.04080441168275136
0.2,0.0525739740515371,0.04359268589079511,0.04570614468576438,0.054756759116474256,0.06421759311252766,0.054756759116474256,0.04570614468576438
0.225,0.05918453022883656,0.04899961413778583,0.051042322206121864,0.061144258054888226,0.07224725425105857,0.06114425805488823,0.05104232220612186
0.25,0.06608923496378034,0.05469645060742514,0.05660411440252885,0.06774973570434523,0.08054482441980611,0.06774973570434523,0.05660411440252885
0.275,0.07309543898247617,0.06051034630843651,0.062218557947678214,0.07438573277970066,0.08890692481566,0.07438573277970066,0.06221855794767821
0.30000000000000004,0.08008713153158302,0.0663315744380043,0.06777810305619872,0.08094091581600545,0.09722124261330055,0.08094091581600546,0.06777810305619872
0.325,0.08704079717364846,0.07213009491611094,0.07325658187040467,0.08739576470419215,0.10548006184469859,0.08739576470419215,0.07325658187040467
0.35000000000000003,0.09401104365378236,0.07794463710538205,0.07869713134549507,0.0938076861093693,0.11376148912971729,0.0938076861093693,0.07869713134549507
