t_ms,ref_V,surrogate_V,lin1_V,gn6_V
9.44,-65.08190155029297,-45.443538665771484,-65.0820083618164,-65.08190155029297
9.6,-64.46904754638672,-45.01660919189453,-64.46927642822266,-64.46904754638672
9.76,-64.02838134765625,-43.05807113647461,-64.0285415649414,-64.02838134765625
9.92,-61.84816360473633,-39.3402099609375,-61.84848403930664,-61.84816360473633
10.08,-61.49162673950195,-32.47274398803711,-61.491580963134766,-61.49162673950195
10.24,-59.075828552246094,-19.968477249145508,-59.07521438598633,-59.075828552246094
10.4,-57.390907287597656,-1.9680578708648682,-57.38954544067383,-57.390907287597656
10.56,-55.4347038269043,10.254349708557129,-55.43199157714844,-55.4347038269043
10.72,-57.21426010131836,10.4949369430542,-57.21405792236328,-57.21426010131836
10.88,-56.66022872924805,4.839028835296631,-56.65889358520508,-56.66022872924805
11.040000000000001,-57.77227020263672,-2.6684536933898926,-57.77200698852539,-57.77227020263672
11.200000000000001,-59.30450439453125,-10.542497634887695,-59.304439544677734,-59.30450439453125
11.36,-60.95140075683594,-18.260149002075195,-60.951377868652344,-60.95140075683594
11.52,-61.05923080444336,-25.707176208496094,-61.058929443359375,-61.05923080444336
11.68,-62.75907897949219,-33.02557373046875,-62.759071350097656,-62.75907897949219
11.84,-62.422264099121094,-40.634769439697266,-62.42205047607422,-62.422264099121094
12.0,-61.00437927246094,-49.243465423583984,-61.00392150878906,-61.00437927246094
12.16,-58.41608428955078,-59.29170227050781,-58.414798736572266,-58.41608428955078
12.32,-56.42892837524414,-63.08728790283203,-56.426902770996094,-56.42892837524414
12.48,-54.558685302734375,-72.40352630615234,-54.55564498901367,-54.558685302734375
12.64,-53.949161529541016,-69.70072174072266,-53.94721984863281,-53.949161529541016
12.8,-54.29757308959961,-74.7042007446289,-54.296875,-54.29757308959961
