method,substeps,wall_ms,nrmse
rk4,1,24.0163,NaN
rk4,2,59.9729,NaN
rk4,4,128.3167,0.000113599956
rk4,8,275.51759999999996,4.8926736e-6
ros2,1,56.5086,NaN
ros2,2,113.6414,1.2513518
ros2,4,215.5143,0.11380756
ros2,8,439.1361,0.018835614
surrogate,0,431.3093,0.18879436
