batch,fineRK4_ms,ros2_ms,sur1step_ms,surRollout_ms,speedup
256.0,4.6057,10.1069,0.5894,131.2524,0.03509040596590996
1024.0,11.1989,19.1879,0.524,122.1016,0.09171788084677023
4096.0,8.184500000000002,121.3806,1.5547,163.1584,0.050162909172926436
16384.0,9.5318,665.0241,5.457199999999999,484.4867,0.01967401788325665
