true_gNa,true_gK,rec_gNa,rec_gK
110.0,30.0,109.9999665920024,29.999984128524524
90.0,45.0,89.97210794190707,44.98855493221072
140.0,25.0,140.0000131453568,24.999998454675175
75.0,40.0,74.9999980337104,39.99999853497116
120.0,36.0,119.97039052445734,35.98948969550158
100.0,50.0,100.00026470841911,50.00011322143203
